Number,On a,Doubles,Type,Name,Country,Equipe,Packet,Fav?,Top 3
117,TRUE,40,Coureur,Juan Ayuso,ESP,LIDL -TREK,30,⭐,
118,TRUE,,Coureur,Mads Pedersen ,DEN,LIDL -TREK,38,⭐,
119,TRUE,,Coureur,Mattias Skjelmose,DEN,LIDL -TREK,46,,
120,TRUE,,Coureur,Giulio Ciccone ,ITA,LIDL -TREK,45,,
121,TRUE,,Maillot,Maillot Lidl,,LIDL -TREK,54,,
122,FALSE,,Vélo,,,LIDL -TREK,,,
123,TRUE,72,Coureur,Lennard Kamna,GER,LIDL -TREK,8,,
124,TRUE,74,Coureur,Soren Kragh Andersen ,DEN,LIDL -TREK,69,,
125,TRUE,56,Coureur,Quinn Simmons,USA,LIDL -TREK,26,,
126,TRUE,44/76,Coureur,Toms Skujins,LVA,LIDL -TREK,5,,
127,TRUE,40,Coureur,Mathias Vacek,CZE,LIDL -TREK,7,,
128,FALSE,,Coureur,,,LIDL -TREK,,,
129,FALSE,,Logo,,,LOTTO - INTERMARCHE,,,
130,TRUE,,Equipe,Team Lotto ,,LOTTO - INTERMARCHE,46,,
131,TRUE,,Coureur,Arnaud de Lie,BEL,LOTTO - INTERMARCHE,29,,
132,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,,
133,TRUE,52,Coureur,Jenno Berckmoes,BEL,LOTTO - INTERMARCHE,20,,
134,TRUE,67,Coureur,Huub Artz,NED,LOTTO - INTERMARCHE,0,,
135,TRUE,68,Maillot,Maillot Lotto,,LOTTO - INTERMARCHE,27,,
136,TRUE,,Vélo,Vélo Lotto,,LOTTO - INTERMARCHE,63,,
137,TRUE,49,Coureur,Cedric Beullens,BEL,LOTTO - INTERMARCHE,23,,
138,TRUE,,Coureur,Lars Craps,BEL,LOTTO - INTERMARCHE,32,,
139,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,,
140,TRUE,,Coureur,Georg Zimmermann ,GER,LOTTO - INTERMARCHE,70,,
141,TRUE,,Coureur,Jasper de Buyst,BEL,LOTTO - INTERMARCHE,3,,
142,TRUE,51,Coureur,Luca Van Boven,BEL,LOTTO - INTERMARCHE,28,,
143,FALSE,,Logo,,,MOVISTAR TEAM,,,
144,FALSE,,Equipe,,,MOVISTAR TEAM,,,
145,FALSE,,Coureur,,,MOVISTAR TEAM,,,
146,TRUE,,Coureur,Raul Garcia Pierna,ESP,MOVISTAR TEAM,14,,
147,TRUE,15,Coureur,Ivan Romeo,ESP,MOVISTAR TEAM,12,,
148,TRUE,,Coureur,Einer Rubio,COL,MOVISTAR TEAM,42,,
149,FALSE,,Maillot,,,MOVISTAR TEAM,,,
150,TRUE,55,Vélo,Bile Movistar,,MOVISTAR TEAM,21,,
151,TRUE,37/59,Coureur,Pablo Castrillo,ESP,MOVISTAR TEAM,10,,
152,TRUE,,Coureur,Roger Adria,ESP,MOVISTAR TEAM,11,,
153,TRUE,64/77,Coureur,Javier Romo,ESP,MOVISTAR TEAM,16,,
154,TRUE,,Coureur,Ivan Garcia Cortina ,ESP,MOVISTAR TEAM,58,,
155,TRUE,,Coureur,Lorenzo Milesi ,ITA,MOVISTAR TEAM,42,,
156,FALSE,,Coureur,,,MOVISTAR TEAM,,,
157,TRUE,,Logo,Logo NSN,,NSN CYCLING TEAM,70,,
158,FALSE,,Equipe,,,NSN CYCLING TEAM,,,
159,TRUE,,Coureur,Biniam Girmay,ERI,NSN CYCLING TEAM,5,⭐,
160,TRUE,,Coureur,Lewis Askey,,NSN CYCLING TEAM,50,,
161,FALSE,,Coureur,,,NSN CYCLING TEAM,,,
162,TRUE,76,Coureur,Marco Frigo ,ITA,NSN CYCLING TEAM,44,,
163,TRUE,,Maillot,Maillot NSN,,NSN CYCLING TEAM,49,,
164,TRUE,,Vélo,Velo NSN,,NSN CYCLING TEAM,17,,
165,TRUE,,Coureur,Matis Louvel,FRA,NSN CYCLING TEAM,3,,
166,TRUE,,Coureur,Ryan Mullen ,IRL,NSN CYCLING TEAM,37,,
167,FALSE,,Coureur,,,NSN CYCLING TEAM,,,
168,FALSE,,Coureur,,,NSN CYCLING TEAM,,,
169,TRUE,,Coureur,Jake Stewart,GBR,NSN CYCLING TEAM,43,,
170,TRUE,42,Coureur,Tom Van Asbroeck,BEL,NSN CYCLING TEAM,22,,
171,TRUE,,Logo,Logo Red Bull,,RED BULL - BORA - HANSGROHE,8,,
172,TRUE,,Equipe,Team Red Bull,,RED BULL - BORA - HANSGROHE,33,,
173,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,,
174,TRUE,,Coureur,Daniel Felipe Martinez,COL,RED BULL - BORA - HANSGROHE,30,,
175,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,,
176,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,,
177,TRUE,,Maillot,Maillot Red Bull,,RED BULL - BORA - HANSGROHE,64,,
178,TRUE,,Vélo,Vélo red bull ,,RED BULL - BORA - HANSGROHE,65,,
179,TRUE,,Coureur,Florian Lipowitz,GER,RED BULL - BORA - HANSGROHE,10,⭐,
180,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,,
181,TRUE,54,Coureur,Giulio Pellizzari,ITA,RED BULL - BORA - HANSGROHE,32,⭐,
182,TRUE,36/73,Coureur,Jai Hindley,AUS,RED BULL - BORA - HANSGROHE,8,⭐,
183,TRUE,50/57,Coureur,Laurence Pithie,NZL,RED BULL - BORA - HANSGROHE,20,,
184,TRUE,,Coureur,Primoz Roglic,SVN,RED BULL - BORA - HANSGROHE,19,⭐,
185,TRUE,57/69,Logo,Logo Soudal,,SOUDAL QUICK STEP,25,,
186,FALSE,,Equipe,,,SOUDAL QUICK STEP,,,
187,TRUE,,Coureur,Mikel Landa,ESP,SOUDAL QUICK STEP,18,,
188,FALSE,,Coureur,,,SOUDAL QUICK STEP,,,
189,TRUE,67,Coureur,Valentin Paret Peintre ,FRA,SOUDAL QUICK STEP,55,⭐,
190,TRUE,,Coureur,Jasper Stuyven,BEL,SOUDAL QUICK STEP,67,,
191,TRUE,,Maillot,Maillot Soudal,,SOUDAL QUICK STEP,58,,
192,FALSE,,Vélo,,,SOUDAL QUICK STEP,,,
193,FALSE,,Coureur,,,SOUDAL QUICK STEP,,,
194,TRUE,54,Coureur,Bert Van Lerberghe,BEL,SOUDAL QUICK STEP,1,,
195,TRUE,63,Coureur,Ilan Van Wilder,BEL,SOUDAL QUICK STEP,0,,
196,TRUE,67,Coureur,Louis Vervaeke,BEL,SOUDAL QUICK STEP,31,,
197,TRUE,,Coureur,Maximilian Schachmann,GER,SOUDAL QUICK STEP,12,,
198,TRUE,50,Coureur,Yves Lampaert,BEL,SOUDAL QUICK STEP,32,,
199,TRUE,43/62,Logo,Logo Jayco,,TEAM JAYCO ALULA,6,,
200,TRUE,,Equipe,Team Jayco ,,TEAM JAYCO ALULA,43,,
201,TRUE,,Coureur,Ben O'Connor,AUS,TEAM JAYCO ALULA,26,⭐,
202,TRUE,,Coureur,Alessandro Covi,ITA,TEAM JAYCO ALULA,25,,
203,TRUE,44/76,Coureur,Michael Matthews,AUS,TEAM JAYCO ALULA,35,,
204,FALSE,,Coureur,,,TEAM JAYCO ALULA,,,
205,TRUE,,Maillot,Maillot Jayco,,TEAM JAYCO ALULA,69,,
206,FALSE,,Vélo,,,TEAM JAYCO ALULA,,,
207,TRUE,,Coureur,Luke Plapp ,AUS,TEAM JAYCO ALULA,42,,
208,FALSE,,Coureur,,,TEAM JAYCO ALULA,,,
209,FALSE,,Coureur,,,TEAM JAYCO ALULA,,,
210,FALSE,,Coureur,,,TEAM JAYCO ALULA,,,
211,FALSE,,Coureur,,,TEAM JAYCO ALULA,,,
212,TRUE,,Coureur,Koen Bouwman,NED,TEAM JAYCO ALULA,20,,
213,TRUE,69,Logo,Logo Pic Nic,,TEAM PICNIC POSTNL,24,,
214,TRUE,,Equipe,Team Pic Nic,,TEAM PICNIC POSTNL,42,,
215,TRUE,,Coureur,Pavel Bittner ,CZE,TEAM PICNIC POSTNL,69,,
216,TRUE,66,Coureur,Warren Barguil,FRA,TEAM PICNIC POSTNL,33,,
217,TRUE,,Coureur,Matthew Dinham,AUS,TEAM PICNIC POSTNL,48,,
218,TRUE,,Coureur,John Degenkolb,GER,TEAM PICNIC POSTNL,14,,
219,TRUE,,Maillot,Maillot Pic Nic,,TEAM PICNIC POSTNL,77,,
220,TRUE,61/71,Vélo,Velo picnic,,TEAM PICNIC POSTNL,7,,
221,TRUE,65,Coureur,Niklas Markl,GER,TEAM PICNIC POSTNL,15,,
222,TRUE,,Coureur,James Knox,GBR,TEAM PICNIC POSTNL,25,,
223,TRUE,,Coureur,Frank Van Den Broek,NED,TEAM PICNIC POSTNL,29,,
224,TRUE,72,Coureur,Julius Van Den Berg,NED,TEAM PICNIC POSTNL,10,,
225,TRUE,44/52,Coureur,Sean Flynn,GBR,TEAM PICNIC POSTNL,23,,
226,TRUE,45,Coureur,Bjorn Koerdt,GBR,TEAM PICNIC POSTNL,9,,
227,FALSE,,Logo,,,TEAM VISMA | LEASE A BIKE,,,
228,FALSE,,Equipe,,,TEAM VISMA | LEASE A BIKE,,,
229,TRUE,,Coureur,Jonas Vingegaard,DEN,TEAM VISMA | LEASE A BIKE,35,⭐,1
230,TRUE,,Coureur,Wout Van Aert ,BEL,TEAM VISMA | LEASE A BIKE,64,⭐,
231,TRUE,,Coureur,Sepp Kuss ,USA,TEAM VISMA | LEASE A BIKE,73,⭐,
232,TRUE,,Coureur,Matteo Jorgenson,USA,TEAM VISMA | LEASE A BIKE,74,⭐,
233,FALSE,,Maillot,,,TEAM VISMA | LEASE A BIKE,,,
234,TRUE,,Vélo,Velo Visma!,,TEAM VISMA | LEASE A BIKE,12,⭐,
235,TRUE,,Coureur,Christophe Laporte ,FRA,TEAM VISMA | LEASE A BIKE,66,,
236,TRUE,41,Coureur,Ben Tulett,GBR,TEAM VISMA | LEASE A BIKE,9,⭐,
237,FALSE,,Coureur,,,TEAM VISMA | LEASE A BIKE,,,
238,TRUE,63,Coureur,Bruno Amirail,FRA,TEAM VISMA | LEASE A BIKE,18,⭐,
239,TRUE,,Coureur,Wilco Kelderman,NED,TEAM VISMA | LEASE A BIKE,21,,
240,TRUE,,Coureur,Edoardo Affini ,ITA,TEAM VISMA | LEASE A BIKE,57,⭐,
241,FALSE,,Logo,,,UAE TEAM EMIRATES - XRG,,,
242,TRUE,,Equipe,Team UAE,,UAE TEAM EMIRATES - XRG,2,⭐,
243,TRUE,,Coureur,Tadej Pogacar ,SVN,UAE TEAM EMIRATES - XRG,61,⭐,3
244,TRUE,37,Coureur,Adam Yates,GBR,UAE TEAM EMIRATES - XRG,23,⭐,
245,TRUE,45,Coureur,Isaac Del Toro,MEX,UAE TEAM EMIRATES - XRG,24,⭐,
246,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,,
247,TRUE,,Maillot,Maillot UAE,,UAE TEAM EMIRATES - XRG,4,⭐,
248,TRUE,,Vélo,Velo UAE,,UAE TEAM EMIRATES - XRG,13,⭐,
249,TRUE,53/71,Coureur,Marc Soler,ESP,UAE TEAM EMIRATES - XRG,16,⭐,
250,TRUE,,Coureur,Pavel Sivakov,FRA,UAE TEAM EMIRATES - XRG,31,,
251,TRUE,,Coureur,Tim Wellens,BEL,UAE TEAM EMIRATES - XRG,60,⭐,
252,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,,
253,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,,
254,TRUE,27/39,Coureur,Nils Politt,GER,UAE TEAM EMIRATES - XRG,22,,
255,TRUE,41,Logo,Logo Uno,,UNO - X MOBILITY,20,,
256,TRUE,,Equipe,Team Uno,,UNO - X MOBILITY,28,,
257,TRUE,,Coureur,Tobias Halland Johannessen ,NOR,UNO - X MOBILITY,70,,
258,FALSE,,Coureur,,,UNO - X MOBILITY,,,
259,TRUE,,Coureur,Magnus Cort,DEN,UNO - X MOBILITY,47,,
260,TRUE,,Coureur,Soren Waerenskjold,NOR,UNO - X MOBILITY,15,,
261,TRUE,48,Maillot,Maillot Uno,,UNO - X MOBILITY,22,,
262,TRUE,32/48/71,Vélo,Velo Uno,,UNO - X MOBILITY,18,,
263,TRUE,60,Coureur,Markus Hoelgaard,NOR,UNO - X MOBILITY,29,,
264,FALSE,,Coureur,,,UNO - X MOBILITY,,,
265,TRUE,,Coureur,Frederik Dversnes,NOR,UNO - X MOBILITY,46,,
266,TRUE,59/73,Coureur,Anthon Charmig,DEN,UNO - X MOBILITY,5,,
267,TRUE,,Coureur,Johannes Kulset ,NOR,UNO - X MOBILITY,53,,
268,TRUE,,Coureur,Sndreas Kron,DEN,UNO - X MOBILITY,24,,
269,TRUE,47,Logo,Logo Astana,,XDS ASTANA TEAM,33,,
270,TRUE,,Equipe,Team Astana,,XDS ASTANA TEAM,3,,
271,FALSE,,Coureur,,,XDS ASTANA TEAM,,,
272,TRUE,48,Coureur,Mike Teunissen ,NED,XDS ASTANA TEAM,39,,
273,TRUE,,Coureur,Aaron Gate,NZL,XDS ASTANA TEAM,6,,
274,TRUE,74,Coureur,Max Kanter,GER,XDS ASTANA TEAM,16,,
275,TRUE,,Maillot,Maillot Astana,,XDS ASTANA TEAM,23,,
276,TRUE,59,Vélo,Velo Astana,,XDS ASTANA TEAM,13,,
277,FALSE,,Coureur,,,XDS ASTANA TEAM,,,
278,TRUE,58,Coureur,Simone Velasco,ITA,XDS ASTANA TEAM,11,,
279,TRUE,4/53/75,Coureur,Nicola Conci,ITA,XDS ASTANA TEAM,0,,
280,TRUE,,Coureur,Cristian Rodriguez,ESP,XDS ASTANA TEAM,29,,
281,TRUE,,Coureur,Florian Kajamini,ITA,XDS ASTANA TEAM,59,,
282,TRUE,,Coureur,Darren Van Bekkum,NED,XDS ASTANA TEAM,27,,
283,TRUE,45,Logo,Logo TDF Femmes,,,32,⭐,
T26,FALSE,,Coureuse,,,,,,
T27,FALSE,,Coureuse,,,,,,
T28,FALSE,,Coureuse,,,,,,
T29,FALSE,,Coureuse,,,,,,
284,TRUE,,Coureuse,Kim Le court Pienaar,MRI,AG INSURANCE - SOUDAL TEAM,38,,
285,TRUE,48/53,Coureuse,Justine Ghekiere,BEL,AG INSURANCE - SOUDAL TEAM,22,,
286,TRUE,70,Coureuse,Sarag Gigante,AUS,AG INSURANCE - SOUDAL TEAM,12,,
287,TRUE,,Coureuse,Kasia Niedwiadoma-Phinney,POL,CANYON // SRAM ZONDACRYPTO,24,,
288,TRUE,,Coureuse,Zoe Bäckstedt,GBR,CANYON // SRAM ZONDACRYPTO,1,,
289,TRUE,,Coureuse,Chiara Consonni ,ITA,CANYON // SRAM ZONDACRYPTO,51,,
290,FALSE,,Coureuse,,,EF EDUCATION - OATLY,,,
291,TRUE,75,Coureuse,Magdeleine Vallieres-Mill,CAN,EF EDUCATION - OATLY,66,,
292,TRUE,,Coureuse,Noemi Ruegg,SUI,EF EDUCATION - OATLY,14,,
293,TRUE,,Coureuse,Demi Vollering,NED,FDJ UNITED SUEZ,19,⭐,
294,TRUE,,Coureuse,Juliette Berthet ,FRA,FDJ UNITED SUEZ,61,,
295,TRUE,51,Coureuse,Evita Muzic,FRA,FDJ UNITED SUEZ,33,,
296,TRUE,,Coureuse,Puck Pieterse,NED,FENIX - PREMIER TECH,9,,
297,TRUE,,Coureuse,Charlotte Kool,NED,FENIX - PREMIER TECH,4,,
298,TRUE,39,Coureuse,Christina Schweinberger,AUT,FENIX - PREMIER TECH,2,,
299,TRUE,,Coureuse,Barbara Malcotti,ITA,HUMAN POWERED HEALTH,19,,
300,TRUE,,Coureuse,Lily Williams,USA,HUMAN POWERED HEALTH,24,,
301,TRUE,75,Coureuse,Titia Ryo,FRA ,HUMAN POWERED HEALTH,56,,
302,FALSE,,Coureuse,,,LIDL - TREK,,,
303,TRUE,,Coureuse,Elisa Balsamo,ITA,LIDL - TREK,16,,
304,TRUE,49,Coureuse,Riejanne Markus,NED,LIDL - TREK,5,,
305,FALSE,,Coureuse,,,LIV - ALULA - JAYCO,,,
306,TRUE,,Coureuse,Silke Smulders,NED,LIV - ALULA - JAYCO,31,,
307,TRUE,,Coureuse,Ella Wyllie,NZL,LIV - ALULA - JAYCO,9,,
308,TRUE,59,Coureuse,Marlen Reusser,SUI,MOVIESTAR TEAM,13,,
309,FALSE,,Coureuse,,,MOVIESTAR TEAM,,,
310,TRUE,28/50,Coureuse,Tota Magalhaes,BRA,MOVIESTAR TEAM,13,,
311,TRUE,50,Coureuse,Eleonora Ciabocco,ITA,TEAM PICNIC POSTNL,25,,
312,FALSE,,Coureuse,,,TEAM PICNIC POSTNL,,,
313,TRUE,,Coureuse,Rachele Barbieri,ITA,TEAM PICNIC POSTNL,2,,
314,FALSE,,Coureuse,,,TEAM SD WORX - PROTIME,,,
315,TRUE,,Coureuse,Lorena Wiebes,NED,TEAM SD WORX - PROTIME,17,,
316,FALSE,,Coureuse,,,TEAM SD WORX - PROTIME,,,
317,TRUE,,Coureuse,Pauline Ferrand Prévôt ,FRA,TEAM VISMA | LEASE A BIKE,41,⭐,
318,TRUE,,Coureuse,Marianne Vos,NED,TEAM VISMA | LEASE A BIKE,6,⭐,
319,FALSE,,Coureuse,,,TEAM VISMA | LEASE A BIKE,,,
320,FALSE,,Coureuse,,,UAE TEAM ADQ,,,
321,TRUE,40/64,Coureuse,Mavi Garcia,ESP,UAE TEAM ADQ,27,,
322,TRUE,,Coureuse,Pauliena Rooijakkers,NED,UAE TEAM ADQ,38,,
323,TRUE,,Coureuse,Katrine Aalerud,NOR,UNO - X MOBILITY,11,,
324,TRUE,37/73,Coureuse,Mie Bjorndal Ottestad,NOR,UNO - X MOBILITY,36,,
325,TRUE,,Coureuse,Linda Zanetti,,UNO - X MOBILITY,0,,
