Number,On a,Doubles,Type,Name,Country,Equipe,Fav?,Top 3
53,TRUE,38,Coureur,Pello Bilbao,ESP,BAHRAIN VICTORIOUS,,
54,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
55,TRUE,,Coureur,Kamil Gradek,POL,BAHRAIN VICTORIOUS,,
56,TRUE,,Coureur,Matej Mohoric,SVN,BAHRAIN VICTORIOUS,,
57,FALSE,,Coureur,,,BAHRAIN VICTORIOUS,,
58,TRUE,,Coureur,Attila Valter,HUN,BAHRAIN VICTORIOUS,,
59,FALSE,,Logo,,,DECATHLON CMA CGM TEAM,,
60,TRUE,,Equipe,Team Decathlon,,DECATHLON CMA CGM TEAM,⭐,
61,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
62,TRUE,,Coureur,Paul Seixas,FRA,DECATHLON CMA CGM TEAM,⭐,2
63,TRUE,,Coureur,Tiesj Benoot,BEL,DECATHLON CMA CGM TEAM,,
64,TRUE,,Coureur,Stefan Bisseger,SUI,DECATHLON CMA CGM TEAM,,
65,FALSE,,Maillot,,,DECATHLON CMA CGM TEAM,,
66,TRUE,,Vélo,Bike Decathlon,,DECATHLON CMA CGM TEAM,⭐,
67,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
68,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
69,TRUE,41,Coureur,Cees Bol,NED,DECATHLON CMA CGM TEAM,,
70,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
71,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
72,FALSE,,Coureur,,,DECATHLON CMA CGM TEAM,,
73,TRUE,,Logo,Logo EF,,EF EDUCATION - EASYPOST,,
74,FALSE,,Equipe,,,EF EDUCATION - EASYPOST,,
75,TRUE,,Coureur,Richard Carapaz,ECU,EF EDUCATION - EASYPOST,⭐,
76,TRUE,,Coureur,Ben Healy,IRL,EF EDUCATION - EASYPOST,⭐,
77,TRUE,,Coureur,Alex Baudin,FRA,EF EDUCATION - EASYPOST,,
78,TRUE,,Coureur,Kasper Asgreen,DEN,EF EDUCATION - EASYPOST,,
79,TRUE,,Maillot,Maillot EF,,EF EDUCATION - EASYPOST,,
80,TRUE,,Vélo,Velo EF,,EF EDUCATION - EASYPOST,,
81,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
82,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
83,TRUE,,Coureur,Harry Sweeny,AUS,EF EDUCATION - EASYPOST,⭐,
84,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
85,FALSE,,Coureur,,,EF EDUCATION - EASYPOST,,
86,TRUE,,Coureur,Mikkel,DEN,EF EDUCATION - EASYPOST,,
87,TRUE,,Logo,Logo FDJ,,GROUPAMA - FDJ UNITED,,
88,TRUE,,Equipe,Team Groupama,,GROUPAMA - FDJ UNITED,,
89,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
90,TRUE,,Coureur,Ewen Costiou,FRA,GROUPAMA - FDJ UNITED,,
91,TRUE,,Coureur,David Gaudu,FRA,GROUPAMA - FDJ UNITED,⭐,
92,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
93,FALSE,,Maillot,,,GROUPAMA - FDJ UNITED,,
94,TRUE,,Vélo,Vélo FDJ,,GROUPAMA - FDJ UNITED,,
95,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
96,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
97,TRUE,,Coureur,Guillaume Martin-Guyonnet,FRA,GROUPAMA - FDJ UNITED,⭐,
98,TRUE,,Coureur,Paul Penhoet,FRA,GROUPAMA - FDJ UNITED,,
99,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
100,FALSE,,Coureur,,,GROUPAMA - FDJ UNITED,,
101,FALSE,,Logo,,,INEOS GRENADIERS,,
102,TRUE,,Equipe,Team Ineos,,INEOS GRENADIERS,,
103,FALSE,,Coureur,,,INEOS GRENADIERS,,
104,TRUE,,Coureur,Kevin Vauquelin,FRA,INEOS GRENADIERS,⭐,
105,TRUE,,Coureur,Thymen Arensman,NED,INEOS GRENADIERS,⭐,
106,TRUE,,Coureur,Filippo Ganna,ITA,INEOS GRENADIERS,⭐,
107,TRUE,35,Maillot,Maillot Ineos,,INEOS GRENADIERS,,
108,FALSE,,Vélo,,,INEOS GRENADIERS,,
109,FALSE,,Coureur,,,INEOS GRENADIERS,,
110,TRUE,38,Coureur,Jack Haig,AUS,INEOS GRENADIERS,,
111,TRUE,,Coureur,Michal Kwiatkowski,POL,INEOS GRENADIERS,,
112,TRUE,,Coureur,Carlos Rodriguez ,ESP,INEOS GRENADIERS,,
113,FALSE,,Coureur,,,INEOS GRENADIERS,,
114,TRUE,,Coureur,Sam Watson,GBR,INEOS GRENADIERS,,
115,TRUE,,Logo,Logo Lidl ,,LIDL -TREK,,
116,TRUE,31,Equipe,Team Lidl,,LIDL -TREK,,
117,TRUE,40,Coureur,Juan Ayuso,ESP,LIDL -TREK,⭐,
118,TRUE,,Coureur,Mads Pedersen ,DEN,LIDL -TREK,⭐,
119,FALSE,,Coureur,,,LIDL -TREK,,
120,FALSE,,Coureur,,,LIDL -TREK,,
121,FALSE,,Maillot,,,LIDL -TREK,,
122,FALSE,,Vélo,,,LIDL -TREK,,
123,TRUE,,Coureur,Lennard Kamna,GER,LIDL -TREK,,
124,FALSE,,Coureur,,,LIDL -TREK,,
125,TRUE,,Coureur,Quinn Simmons,USA,LIDL -TREK,,
126,TRUE,,Coureur,Toms Skujins,LVA,LIDL -TREK,,
127,TRUE,40,Coureur,Mathias Vacek,CZE,LIDL -TREK,,
128,FALSE,,Coureur,,,LIDL -TREK,,
129,FALSE,,Logo,,,LOTTO - INTERMARCHE,,
130,FALSE,,Equipe,,,LOTTO - INTERMARCHE,,
131,TRUE,,Coureur,Arnaud de Lie,BEL,LOTTO - INTERMARCHE,,
132,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
133,TRUE,,Coureur,Jenno Berckmoes,BEL,LOTTO - INTERMARCHE,,
134,TRUE,,Coureur,Huub Artz,NED,LOTTO - INTERMARCHE,,
135,TRUE,,Maillot,Maillot Lotto,,LOTTO - INTERMARCHE,,
136,FALSE,,Vélo,,,LOTTO - INTERMARCHE,,
137,TRUE,,Coureur,Cedric Beullens,BEL,LOTTO - INTERMARCHE,,
138,TRUE,,Coureur,Lars Craps,BEL,LOTTO - INTERMARCHE,,
139,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
140,FALSE,,Coureur,,,LOTTO - INTERMARCHE,,
141,TRUE,,Coureur,Jasper de Buyst,BEL,LOTTO - INTERMARCHE,,
142,TRUE,,Coureur,Luca Van Boven,BEL,LOTTO - INTERMARCHE,,
143,FALSE,,Logo,,,MOVISTAR TEAM,,
144,FALSE,,Equipe,,,MOVISTAR TEAM,,
145,FALSE,,Coureur,,,MOVISTAR TEAM,,
146,TRUE,,Coureur,Raul Garcia Pierna,ESP,MOVISTAR TEAM,,
147,TRUE,15,Coureur,Ivan Romeo,ESP,MOVISTAR TEAM,,
148,TRUE,,Coureur,Einer Rubio,COL,MOVISTAR TEAM,,
149,FALSE,,Maillot,,,MOVISTAR TEAM,,
150,TRUE,,Vélo,Bile Movistar,,MOVISTAR TEAM,,
151,TRUE,37,Coureur,Pablo Castrillo,ESP,MOVISTAR TEAM,,
152,TRUE,,Coureur,Roger Adria,ESP,MOVISTAR TEAM,,
153,TRUE,,Coureur,Javier Romo,ESP,MOVISTAR TEAM,,
154,FALSE,,Coureur,,,MOVISTAR TEAM,,
155,TRUE,,Coureur,Lorenzo Milesi ,ITA,MOVISTAR TEAM,,
156,FALSE,,Coureur,,,MOVISTAR TEAM,,
157,FALSE,,Logo,,,NSN CYCLING TEAM,,
158,FALSE,,Equipe,,,NSN CYCLING TEAM,,
159,TRUE,,Coureur,Biniam Girmay,ERI,NSN CYCLING TEAM,⭐,
160,FALSE,,Coureur,,,NSN CYCLING TEAM,,
161,FALSE,,Coureur,,,NSN CYCLING TEAM,,
162,FALSE,,Coureur,,,NSN CYCLING TEAM,,
163,FALSE,,Maillot,,,NSN CYCLING TEAM,,
164,TRUE,,Vélo,Velo NSN,,NSN CYCLING TEAM,,
165,TRUE,,Coureur,Matis Louvel,FRA,NSN CYCLING TEAM,,
166,TRUE,,Coureur,Ryan Mullen ,IRL,NSN CYCLING TEAM,,
167,FALSE,,Coureur,,,NSN CYCLING TEAM,,
168,FALSE,,Coureur,,,NSN CYCLING TEAM,,
169,FALSE,,Coureur,,,NSN CYCLING TEAM,,
170,TRUE,42,Coureur,Tom Van Asbroeck,BEL,NSN CYCLING TEAM,,
171,TRUE,,Logo,Logo Red Bull,,RED BULL - BORA - HANSGROHE,,
172,TRUE,,Equipe,Team Red Bull,,RED BULL - BORA - HANSGROHE,,
173,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
174,TRUE,,Coureur,Daniel Felipe Martinez,COL,RED BULL - BORA - HANSGROHE,,
175,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
176,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
177,FALSE,,Maillot,,,RED BULL - BORA - HANSGROHE,,
178,FALSE,,Vélo,,,RED BULL - BORA - HANSGROHE,,
179,TRUE,,Coureur,Florian Lipowitz,GER,RED BULL - BORA - HANSGROHE,⭐,
180,FALSE,,Coureur,,,RED BULL - BORA - HANSGROHE,,
181,TRUE,,Coureur,Giulio Pellizzari,ITA,RED BULL - BORA - HANSGROHE,⭐,
182,TRUE,36,Coureur,Jai Hindley,AUS,RED BULL - BORA - HANSGROHE,⭐,
183,TRUE,,Coureur,Laurence Pithie,NZL,RED BULL - BORA - HANSGROHE,,
184,TRUE,,Coureur,Primoz Roglic,SVN,RED BULL - BORA - HANSGROHE,⭐,
185,TRUE,,Logo,Logo Soudal,,SOUDAL QUICK STEP,,
186,FALSE,,Equipe,,,SOUDAL QUICK STEP,,
187,TRUE,,Coureur,Mikel Landa,ESP,SOUDAL QUICK STEP,,
188,FALSE,,Coureur,,,SOUDAL QUICK STEP,,
189,FALSE,,Coureur,,,SOUDAL QUICK STEP,,
190,FALSE,,Coureur,,,SOUDAL QUICK STEP,,
191,FALSE,,Maillot,,,SOUDAL QUICK STEP,,
192,FALSE,,Vélo,,,SOUDAL QUICK STEP,,
193,FALSE,,Coureur,,,SOUDAL QUICK STEP,,
194,TRUE,,Coureur,Bert Van Lerberghe,BEL,SOUDAL QUICK STEP,,
195,TRUE,,Coureur,Ilan Van Wilder,BEL,SOUDAL QUICK STEP,,
196,TRUE,,Coureur,Louis Vervaeke,BEL,SOUDAL QUICK STEP,,
197,TRUE,,Coureur,Maximilian Schachmann,GER,SOUDAL QUICK STEP,,
198,TRUE,,Coureur,Yves Lampaert,BEL,SOUDAL QUICK STEP,,
199,TRUE,,Logo,Logo Jayco,,TEAM JAYCO ALULA,,
200,FALSE,,Equipe,,,TEAM JAYCO ALULA,,
201,TRUE,,Coureur,Ben O'Connor,AUS,TEAM JAYCO ALULA,⭐,
202,TRUE,,Coureur,Alessandro Covi,ITA,TEAM JAYCO ALULA,,
203,TRUE,,Coureur,Michael Matthews,AUS,TEAM JAYCO ALULA,,
204,FALSE,,Coureur,,,TEAM JAYCO ALULA,,
205,FALSE,,Maillot,,,TEAM JAYCO ALULA,,
206,FALSE,,Vélo,,,TEAM JAYCO ALULA,,
207,TRUE,,Coureur,Luke Plapp ,AUS,TEAM JAYCO ALULA,,
208,FALSE,,Coureur,,,TEAM JAYCO ALULA,,
209,FALSE,,Coureur,,,TEAM JAYCO ALULA,,
210,FALSE,,Coureur,,,TEAM JAYCO ALULA,,
211,FALSE,,Coureur,,,TEAM JAYCO ALULA,,
212,TRUE,,Coureur,Koen Bouwman,NED,TEAM JAYCO ALULA,,
213,TRUE,,Logo,Logo Pic Nic,,TEAM PICNIC POSTNL,,
214,TRUE,,Equipe,Team Pic Nic,,TEAM PICNIC POSTNL,,
215,FALSE,,Coureur,,,TEAM PICNIC POSTNL,,
216,TRUE,,Coureur,Warren Barguil,FRA,TEAM PICNIC POSTNL,,
217,FALSE,,Coureur,,,TEAM PICNIC POSTNL,,
218,TRUE,,Coureur,John Degenkolb,GER,TEAM PICNIC POSTNL,,
219,FALSE,,Maillot,,,TEAM PICNIC POSTNL,,
220,TRUE,,Vélo,Velo picnic,,TEAM PICNIC POSTNL,,
221,TRUE,,Coureur,Niklas Markl,GER,TEAM PICNIC POSTNL,,
222,TRUE,,Coureur,James Knox,GBR,TEAM PICNIC POSTNL,,
223,TRUE,,Coureur,Frank Van Den Broek,NED,TEAM PICNIC POSTNL,,
224,TRUE,,Coureur,Julius Van Den Berg,NED,TEAM PICNIC POSTNL,,
225,TRUE,,Coureur,Sean Flynn,GBR,TEAM PICNIC POSTNL,,
226,TRUE,,Coureur,Bjorn Koerdt,GBR,TEAM PICNIC POSTNL,,
227,FALSE,,Logo,,,TEAM VISMA | LEASE A BIKE,,
228,FALSE,,Equipe,,,TEAM VISMA | LEASE A BIKE,,
229,TRUE,,Coureur,Jonas Vingegaard,DEN,TEAM VISMA | LEASE A BIKE,⭐,1
230,FALSE,,Coureur,,,TEAM VISMA | LEASE A BIKE,,
231,FALSE,,Coureur,,,TEAM VISMA | LEASE A BIKE,,
232,FALSE,,Coureur,,,TEAM VISMA | LEASE A BIKE,,
233,FALSE,,Maillot,,,TEAM VISMA | LEASE A BIKE,,
234,TRUE,,Vélo,Velo Visma!,,TEAM VISMA | LEASE A BIKE,⭐,
235,FALSE,,Coureur,,,TEAM VISMA | LEASE A BIKE,,
236,TRUE,41,Coureur,Ben Tulett,GBR,TEAM VISMA | LEASE A BIKE,⭐,
237,FALSE,,Coureur,,,TEAM VISMA | LEASE A BIKE,,
238,TRUE,,Coureur,Bruno Amirail,FRA,TEAM VISMA | LEASE A BIKE,⭐,
239,TRUE,,Coureur,Wilco Kelderman,NED,TEAM VISMA | LEASE A BIKE,,
240,FALSE,,Coureur,,,TEAM VISMA | LEASE A BIKE,,
241,FALSE,,Logo,,,UAE TEAM EMIRATES - XRG,,
242,TRUE,,Equipe,Team UAE,,UAE TEAM EMIRATES - XRG,⭐,
243,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,
244,TRUE,37,Coureur,Adam Yates,GBR,UAE TEAM EMIRATES - XRG,⭐,
245,TRUE,,Coureur,Isaac Del Toro,MEX,UAE TEAM EMIRATES - XRG,⭐,3
246,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,
247,TRUE,,Maillot,Maillot UAE,,UAE TEAM EMIRATES - XRG,⭐,
248,TRUE,,Vélo,Velo UAE,,UAE TEAM EMIRATES - XRG,⭐,
249,TRUE,,Coureur,Marc Soler,ESP,UAE TEAM EMIRATES - XRG,⭐,
250,TRUE,,Coureur,Pavel Sivakov,FRA,UAE TEAM EMIRATES - XRG,,
251,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,
252,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,
253,FALSE,,Coureur,,,UAE TEAM EMIRATES - XRG,,
254,TRUE,27/39,Coureur,Nils Politt,GER,UAE TEAM EMIRATES - XRG,,
255,TRUE,41,Logo,Logo Uno,,UNO - X MOBILITY,,
256,TRUE,,Equipe,Team Uno,,UNO - X MOBILITY,,
257,FALSE,,Coureur,,,UNO - X MOBILITY,,
258,FALSE,,Coureur,,,UNO - X MOBILITY,,
259,FALSE,,Coureur,,,UNO - X MOBILITY,,
260,TRUE,,Coureur,Soren Waerenskjold,NOR,UNO - X MOBILITY,,
261,TRUE,,Maillot,Maillot Uno,,UNO - X MOBILITY,,
262,TRUE,32,Vélo,Velo Uno,,UNO - X MOBILITY,,
263,TRUE,,Coureur,Markus Hoelgaard,NOR,UNO - X MOBILITY,,
264,FALSE,,Coureur,,,UNO - X MOBILITY,,
265,FALSE,,Coureur,,,UNO - X MOBILITY,,
266,TRUE,,Coureur,Anthon Charmig,DEN,UNO - X MOBILITY,,
267,FALSE,,Coureur,,,UNO - X MOBILITY,,
268,TRUE,,Coureur,Sndreas Kron,DEN,UNO - X MOBILITY,,
269,TRUE,,Logo,Logo Astana,,XDS ASTANA TEAM,,
270,TRUE,,Equipe,Team Astana,,XDS ASTANA TEAM,,
271,FALSE,,Coureur,,,XDS ASTANA TEAM,,
272,TRUE,,Coureur,Mike Teunissen ,NED,XDS ASTANA TEAM,,
273,TRUE,,Coureur,Aaron Gate,NZL,XDS ASTANA TEAM,,
274,TRUE,,Coureur,Max Kanter,GER,XDS ASTANA TEAM,,
275,TRUE,,Maillot,Maillot Astana,,XDS ASTANA TEAM,,
276,TRUE,,Vélo,Velo Astana,,XDS ASTANA TEAM,,
277,FALSE,,Coureur,,,XDS ASTANA TEAM,,
278,TRUE,,Coureur,Simone Velasco,ITA,XDS ASTANA TEAM,,
279,TRUE,4,Coureur,Nicola Conci,ITA,XDS ASTANA TEAM,,
280,TRUE,,Coureur,Cristian Rodriguez,ESP,XDS ASTANA TEAM,,
281,FALSE,,Coureur,,,XDS ASTANA TEAM,,
282,TRUE,,Coureur,Darren Van Bekkum,NED,XDS ASTANA TEAM,,
283,TRUE,,Logo,Logo TDF Femmes,,,⭐,
T26,FALSE,,Coureuse,,,,,
T27,FALSE,,Coureuse,,,,,
T28,FALSE,,Coureuse,,,,,
T29,FALSE,,Coureuse,,,,,
284,TRUE,,Coureuse,Kim Le court Pienaar,MRI,AG INSURANCE - SOUDAL TEAM,,
285,TRUE,,Coureuse,Justine Ghekiere,BEL,AG INSURANCE - SOUDAL TEAM,,
286,TRUE,,Coureuse,Sarag Gigante,AUS,AG INSURANCE - SOUDAL TEAM,,
287,TRUE,,Coureuse,Kasia Niedwiadoma-Phinney,POL,CANYON // SRAM ZONDACRYPTO,,
288,TRUE,,Coureuse,Zoe Bäckstedt,GBR,CANYON // SRAM ZONDACRYPTO,,
289,FALSE,,Coureuse,,,CANYON // SRAM ZONDACRYPTO,,
290,FALSE,,Coureuse,,,EF EDUCATION - OATLY,,
291,FALSE,,Coureuse,,,EF EDUCATION - OATLY,,
292,TRUE,,Coureuse,Noemi Ruegg,SUI,EF EDUCATION - OATLY,,
293,TRUE,,Coureuse,Demi Vollering,NED,FDJ UNITED SUEZ,⭐,
294,FALSE,,Coureuse,,,FDJ UNITED SUEZ,,
295,TRUE,,Coureuse,Evita Muzic,FRA,FDJ UNITED SUEZ,,
296,TRUE,,Coureuse,Puck Pieterse,NED,FENIX - PREMIER TECH,,
297,TRUE,,Coureuse,Charlotte Kool,NED,FENIX - PREMIER TECH,,
298,TRUE,39,Coureuse,Christina Schweinberger,AUT,FENIX - PREMIER TECH,,
299,TRUE,,Coureuse,Barbara Malcotti,ITA,HUMAN POWERED HEALTH,,
300,TRUE,,Coureuse,Lily Williams,USA,HUMAN POWERED HEALTH,,
301,FALSE,,Coureuse,,,HUMAN POWERED HEALTH,,
302,FALSE,,Coureuse,,,LIDL - TREK,,
303,TRUE,,Coureuse,Elisa Balsamo,ITA,LIDL - TREK,,
304,TRUE,,Coureuse,Riejanne Markus,NED,LIDL - TREK,,
305,FALSE,,Coureuse,,,LIV - ALULA - JAYCO,,
306,TRUE,,Coureuse,Silke Smulders,NED,LIV - ALULA - JAYCO,,
307,TRUE,,Coureuse,Ella Wyllie,NZL,LIV - ALULA - JAYCO,,
308,TRUE,,Coureuse,Marlen Reusser,SUI,MOVIESTAR TEAM,,
309,FALSE,,Coureuse,,,MOVIESTAR TEAM,,
310,TRUE,28,Coureuse,Tota Magalhaes,BRA,MOVIESTAR TEAM,,
311,TRUE,,Coureuse,Eleonora Ciabocco,ITA,TEAM PICNIC POSTNL,,
312,FALSE,,Coureuse,,,TEAM PICNIC POSTNL,,
313,TRUE,,Coureuse,Rachele Barbieri,ITA,TEAM PICNIC POSTNL,,
314,FALSE,,Coureuse,,,TEAM SD WORX - PROTIME,,
315,TRUE,,Coureuse,Lorena Wiebes,NED,TEAM SD WORX - PROTIME,,
316,FALSE,,Coureuse,,,TEAM SD WORX - PROTIME,,
317,TRUE,,Coureuse,Pauline Ferrand Prévôt ,FRA,TEAM VISMA | LEASE A BIKE,⭐,
318,TRUE,,Coureuse,Marianne Vos,NED,TEAM VISMA | LEASE A BIKE,⭐,
319,FALSE,,Coureuse,,,TEAM VISMA | LEASE A BIKE,,
320,FALSE,,Coureuse,,,UAE TEAM ADQ,,
321,TRUE,40,Coureuse,Mavi Garcia,ESP,UAE TEAM ADQ,,
322,TRUE,,Coureuse,Pauliena Rooijakkers,NED,UAE TEAM ADQ,,
323,TRUE,,Coureuse,Katrine Aalerud,NOR,UNO - X MOBILITY,,
324,TRUE,37,Coureuse,Mie Bjorndal Ottestad,NOR,UNO - X MOBILITY,,
325,TRUE,,Coureuse,Linda Zanetti,,UNO - X MOBILITY,,
